indice do pais,país,ano,métrica,emissão estimada de CO2, notas, fonte
142,Asia,2005,Emissions per capita (Kilograms of carbon dioxide),2.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2010,Emissions per capita (Kilograms of carbon dioxide),3.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2015,Emissions per capita (Kilograms of carbon dioxide),3.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2019,Emissions per capita (Kilograms of carbon dioxide),4.1,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2020,Emissions per capita (Kilograms of carbon dioxide),4.0,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
142,Asia,2021,Emissions per capita (Kilograms of carbon dioxide),4.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,1975,Emissions (thousand metric tons of carbon dioxide),7119974,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,1985,Emissions (thousand metric tons of carbon dioxide),8125602,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2005,Emissions (thousand metric tons of carbon dioxide),6024469,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2010,Emissions (thousand metric tons of carbon dioxide),5714704,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2015,Emissions (thousand metric tons of carbon dioxide),5162510,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2019,Emissions (thousand metric tons of carbon dioxide),5029676,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2020,Emissions (thousand metric tons of carbon dioxide),4650290,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2021,Emissions (thousand metric tons of carbon dioxide),5043199,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,1975,Emissions per capita (Kilograms of carbon dioxide),9.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,1985,Emissions per capita (Kilograms of carbon dioxide),10.6,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2005,Emissions per capita (Kilograms of carbon dioxide),8.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2010,Emissions per capita (Kilograms of carbon dioxide),7.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2015,Emissions per capita (Kilograms of carbon dioxide),6.9,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2019,Emissions per capita (Kilograms of carbon dioxide),6.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2020,Emissions per capita (Kilograms of carbon dioxide),6.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
150,Europe,2021,Emissions per capita (Kilograms of carbon dioxide),6.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,1975,Emissions (thousand metric tons of carbon dioxide),1744,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,1985,Emissions (thousand metric tons of carbon dioxide),3176,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2005,Emissions (thousand metric tons of carbon dioxide),1920,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2010,Emissions (thousand metric tons of carbon dioxide),8442,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2015,Emissions (thousand metric tons of carbon dioxide),9509,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2019,Emissions (thousand metric tons of carbon dioxide),10545,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2020,Emissions (thousand metric tons of carbon dioxide),11251,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2021,Emissions (thousand metric tons of carbon dioxide),10013,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,1975,Emissions per capita (Kilograms of carbon dioxide),0.1,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,1985,Emissions per capita (Kilograms of carbon dioxide),0.3,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2005,Emissions per capita (Kilograms of carbon dioxide),0.1,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2010,Emissions per capita (Kilograms of carbon dioxide),0.3,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2015,Emissions per capita (Kilograms of carbon dioxide),0.3,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2019,Emissions per capita (Kilograms of carbon dioxide),0.3,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2020,Emissions per capita (Kilograms of carbon dioxide),0.3,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2021,Emissions per capita (Kilograms of carbon dioxide),0.3,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),4224,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),7470,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),4061,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),4072,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2015,Emissions (thousand metric tons of carbon dioxide),3809,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2019,Emissions (thousand metric tons of carbon dioxide),3973,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2020,Emissions (thousand metric tons of carbon dioxide),3451,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2021,Emissions (thousand metric tons of carbon dioxide),3903,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,1975,Emissions per capita (Kilograms of carbon dioxide),1.8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,1985,Emissions per capita (Kilograms of carbon dioxide),2.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2005,Emissions per capita (Kilograms of carbon dioxide),1.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2010,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2015,Emissions per capita (Kilograms of carbon dioxide),1.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2019,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2020,Emissions per capita (Kilograms of carbon dioxide),1.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2021,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),16361,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),52394,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),91028,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),95093,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2015,Emissions (thousand metric tons of carbon dioxide),126137,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2019,Emissions (thousand metric tons of carbon dioxide),144053,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2020,Emissions (thousand metric tons of carbon dioxide),133590,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2021,Emissions (thousand metric tons of carbon dioxide),145975,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,1975,Emissions per capita (Kilograms of carbon dioxide),1.0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,1985,Emissions per capita (Kilograms of carbon dioxide),2.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2005,Emissions per capita (Kilograms of carbon dioxide),2.8,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2010,Emissions per capita (Kilograms of carbon dioxide),2.7,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2015,Emissions per capita (Kilograms of carbon dioxide),3.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2019,Emissions per capita (Kilograms of carbon dioxide),3.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2020,Emissions per capita (Kilograms of carbon dioxide),3.1,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
